    1   0.000000           :: → ff02::1:ff94:36a1 ICMPv6 86 Neighbor Solicitation for fe80::fcf2:eaff:fe94:36a1
  143  40.216526     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=63001 Win=67 Len=0 TSval=1886574598 TSecr=1758596390
  144  40.233361     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=74038 Win=34304 Len=0 TSval=1886574614 TSecr=1758596520
  145  40.245924     10.0.0.2 → 10.0.0.1     TCP 66 42968 → 55943 [ACK] Seq=1 Ack=73001 Win=67 Len=0 TSval=1886574627 TSecr=1758596523
  146  40.247386     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=75038 Win=34304 Len=0 TSval=1886574628 TSecr=1758596531
  147  40.253543     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=82001 Win=67 Len=0 TSval=1886574635 TSecr=1758596483
  148  40.282274     10.0.0.2 → 10.0.0.1     TCP 66 35722 → 19551 [ACK] Seq=1 Ack=89001 Win=67 Len=0 TSval=1886574663 TSecr=1758596510
  149  40.302901     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=75038 Win=34304 Len=0 TSval=1886574684 TSecr=1758596531
  150  40.306945     10.0.0.2 → 10.0.0.1     TCP 66 6776 → 55246 [ACK] Seq=1 Ack=80038 Win=34304 Len=0 TSval=1886574688 TSecr=1758596600
  151  40.307465     10.0.0.2 → 10.0.0.1     TCP 66 47452 → 53241 [ACK] Seq=1 Ack=76038 Win=34304 Len=0 TSval=1886574688 TSecr=1758596545
  152  40.311026     10.0.0.2 → 10.0.0.1     TCP 66 59433 → 48193 [ACK] Seq=1 Ack=87001 Win=67 Len=0 TSval=1886574692 TSecr=1758596550
  153  40.321324     10.0.0.2 → 10.0.0.1     TCP 66 40783 → 32720 [ACK] Seq=1 Ack=73038 Win=34304 Len=0 TSval=1886574702 TSecr=1758596495
  154  40.339007     10.0.0.2 → 10.0.0.1     TCP 66 46356 → 54368 [ACK] Seq=1 Ack=82038 Win=34304 Len=0 TSval=1886574720 TSecr=1758596626
