    1   0.000000           :: → ff02::1:ff00:1 ICMPv6 86 Neighbor Solicitation for fe80::201:aff:fe00:1
  107  39.178298     10.0.0.1 → 10.0.0.2     TCP 1066 55246 → 6776 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=1000 TSval=1758595559 TSecr=1886573643
  108  39.179553     10.0.0.1 → 10.0.0.2     TCP 1066 48193 → 59433 [PSH, ACK] Seq=13038 Ack=1 Win=37888 Len=1000 TSval=1758595560 TSecr=1886573645
  109  39.181802     10.0.0.1 → 10.0.0.2     TCP 1066 19551 → 35722 [PSH, ACK] Seq=18038 Ack=1 Win=37888 Len=1000 TSval=1758595562 TSecr=1886573647
  110  39.183828     10.0.0.1 → 10.0.0.2     TCP 1066 53241 → 47452 [PSH, ACK] Seq=2038 Ack=1 Win=37888 Len=1000 TSval=1758595564 TSecr=1886573649
  111  39.189692     10.0.0.1 → 10.0.0.2     TCP 2066 58169 → 25904 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=2000 TSval=1758595570 TSecr=1886573655
  112  39.190049     10.0.0.1 → 10.0.0.2     TCP 1066 55246 → 6776 [PSH, ACK] Seq=2038 Ack=1 Win=37888 Len=1000 TSval=1758595571 TSecr=1886573651
  113  39.193461     10.0.0.1 → 10.0.0.2     TCP 1066 58169 → 25904 [PSH, ACK] Seq=3038 Ack=1 Win=37888 Len=1000 TSval=1758595574 TSecr=1886573656
  114  39.194906     10.0.0.1 → 10.0.0.2     TCP 3066 32720 → 40783 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=3000 TSval=1758595576 TSecr=1886573659
  115  39.198208     10.0.0.1 → 10.0.0.2     TCP 3066 54368 → 46356 [PSH, ACK] Seq=1038 Ack=1 Win=37888 Len=3000 TSval=1758595579 TSecr=1886573663
  116  39.202611     10.0.0.1 → 10.0.0.2     TCP 2066 55943 → 42968 [PSH, ACK] Seq=2038 Ack=1 Win=37888 Len=2000 TSval=1758595583 TSecr=1886573667
  117  39.206756     10.0.0.1 → 10.0.0.2     TCP 2066 48193 → 59433 [PSH, ACK] Seq=14038 Ack=1 Win=37888 Len=2000 TSval=1758595587 TSecr=1886573672
  118  39.207463     10.0.0.1 → 10.0.0.2     TCP 1066 58169 → 25904 [PSH, ACK] Seq=4038 Ack=1 Win=37888 Len=1000 TSval=1758595588 TSecr=1886573661
  119  39.211054     10.0.0.1 → 10.0.0.2     TCP 2066 19551 → 35722 [PSH, ACK] Seq=19038 Ack=1 Win=37888 Len=2000 TSval=1758595592 TSecr=1886573676
  120  39.213543     10.0.0.1 → 10.0.0.2     TCP 1066 48193 → 59433 [PSH, ACK] Seq=16038 Ack=1 Win=37888 Len=1000 TSval=1758595594 TSecr=1886573673
  121  39.217291     10.0.0.1 → 10.0.0.2     TCP 2066 53241 → 47452 [PSH, ACK] Seq=3038 Ack=1 Win=37888 Len=2000 TSval=1758595598 TSecr=1886573681
  122  39.220125     10.0.0.1 → 10.0.0.2     TCP 2066 55246 → 6776 [PSH, ACK] Seq=3038 Ack=1 Win=37888 Len=2000 TSval=1758595601 TSecr=1886573685
  123  39.220462     10.0.0.1 → 10.0.0.2     TCP 1066 53241 → 47452 [PSH, ACK] Seq=5038 Ack=1 Win=37888 Len=1000 TSval=1758595601 TSecr=1886573684
  124  39.225018     10.0.0.1 → 10.0.0.2     TCP 2066 32720 → 40783 [PSH, ACK] Seq=4038 Ack=1 Win=37888 Len=2000 TSval=1758595606 TSecr=1886573690
  125  39.226541     10.0.0.1 → 10.0.0.2     TCP 1066 48193 → 59433 [PSH, ACK] Seq=17038 Ack=1 Win=37888 Len=1000 TSval=1758595607 TSecr=1886573681
  126  39.229879     10.0.0.1 → 10.0.0.2     TCP 1066 55246 → 6776 [PSH, ACK] Seq=5038 Ack=1 Win=37888 Len=1000 TSval=1758595611 TSecr=1886573687
  127  39.236128     10.0.0.1 → 10.0.0.2     TCP 3066 54368 → 46356 [PSH, ACK] Seq=4038 Ack=1 Win=37888 Len=3000 TSval=1758595617 TSecr=1886573701
  128  39.242881     10.0.0.1 → 10.0.0.2     TCP 1066 55246 → 6776 [PSH, ACK] Seq=6038 Ack=1 Win=37888 Len=1000 TSval=1758595624 TSecr=1886573696
  129  39.248423     10.0.0.1 → 10.0.0.2     TCP 3066 55943 → 42968 [PSH, ACK] Seq=4038 Ack=1 Win=37888 Len=3000 TSval=1758595629 TSecr=1886573713
  130  39.249039     10.0.0.1 → 10.0.0.2     TCP 1066 54368 → 46356 [PSH, ACK] Seq=7038 Ack=1 Win=37888 Len=1000 TSval=1758595630 TSecr=1886573703
  131  39.256906     10.0.0.1 → 10.0.0.2     TCP 3066 58169 → 25904 [PSH, ACK] Seq=5038 Ack=1 Win=37888 Len=3000 TSval=1758595638 TSecr=1886573722
  132  39.260962     10.0.0.1 → 10.0.0.2     TCP 4066 19551 → 35722 [PSH, ACK] Seq=21038 Ack=1 Win=37888 Len=4000 TSval=1758595642 TSecr=1886573726
  133  39.269130     10.0.0.1 → 10.0.0.2     TCP 3066 53241 → 47452 [PSH, ACK] Seq=6038 Ack=1 Win=37888 Len=3000 TSval=1758595650 TSecr=1886573734
  134  39.270467     10.0.0.1 → 10.0.0.2     TCP 1066 19551 → 35722 [PSH, ACK] Seq=25038 Ack=1 Win=37888 Len=1000 TSval=1758595651 TSecr=1886573728
  135  39.273437     10.0.0.1 → 10.0.0.2     TCP 3066 32720 → 40783 [PSH, ACK] Seq=6038 Ack=1 Win=37888 Len=3000 TSval=1758595654 TSecr=1886573738
  136  39.273456     10.0.0.1 → 10.0.0.2     TCP 1066 53241 → 47452 [PSH, ACK] Seq=9038 Ack=1 Win=37888 Len=1000 TSval=1758595654 TSecr=1886573736
  137  39.281925     10.0.0.1 → 10.0.0.2     TCP 4066 48193 → 59433 [PSH, ACK] Seq=18038 Ack=1 Win=37888 Len=4000 TSval=1758595663 TSecr=1886573747
  138  39.283464     10.0.0.1 → 10.0.0.2     TCP 1066 19551 → 35722 [PSH, ACK] Seq=26038 Ack=1 Win=37888 Len=1000 TSval=1758595664 TSecr=1886573739
  139  39.286071     10.0.0.1 → 10.0.0.2     TCP 3066 55246 → 6776 [PSH, ACK] Seq=7038 Ack=1 Win=37888 Len=3000 TSval=1758595667 TSecr=1886573751
  140  39.287458     10.0.0.1 → 10.0.0.2     TCP 1066 53241 → 47452 [PSH, ACK] Seq=10038 Ack=1 Win=37888 Len=1000 TSval=1758595668 TSecr=1886573741
  141  39.290325     10.0.0.1 → 10.0.0.2     TCP 4066 55943 → 42968 [PSH, ACK] Seq=7038 Ack=1 Win=37888 Len=4000 TSval=1758595671 TSecr=1886573755
  142  39.302056     10.0.0.1 → 10.0.0.2     TCP 1066 55943 → 42968 [PSH, ACK] Seq=11038 Ack=1 Win=37888 Len=1000 TSval=1758595683 TSecr=1886573757
  143  39.302916     10.0.0.1 → 10.0.0.2     TCP 4066 54368 → 46356 [PSH, ACK] Seq=8038 Ack=1 Win=37888 Len=4000 TSval=1758595684 TSecr=1886573767
  144  39.306757     10.0.0.1 → 10.0.0.2     TCP 4066 58169 → 25904 [PSH, ACK] Seq=8038 Ack=1 Win=37888 Len=4000 TSval=1758595687 TSecr=1886573772
  145  39.318902     10.0.0.1 → 10.0.0.2     TCP 4066 32720 → 40783 [PSH, ACK] Seq=9038 Ack=1 Win=37888 Len=4000 TSval=1758595700 TSecr=1886573784
  146  39.331208     10.0.0.1 → 10.0.0.2     TCP 3066 48193 → 59433 [PSH, ACK] Seq=22038 Ack=1 Win=37888 Len=3000 TSval=1758595712 TSecr=1886573796
  147  39.333768     10.0.0.1 → 10.0.0.2     TCP 1066 48193 → 59433 [PSH, ACK] Seq=25038 Ack=1 Win=37888 Len=1000 TSval=1758595714 TSecr=1886573798
  148  39.347911     10.0.0.1 → 10.0.0.2     TCP 4066 19551 → 35722 [PSH, ACK] Seq=27038 Ack=1 Win=37888 Len=4000 TSval=1758595729 TSecr=1886573813
  149  39.351915     10.0.0.1 → 10.0.0.2     TCP 5066 55246 → 6776 [PSH, ACK] Seq=10038 Ack=1 Win=37888 Len=5000 TSval=1758595733 TSecr=1886573817
  150  39.362965     10.0.0.1 → 10.0.0.2     TCP 1066 55246 → 6776 [PSH, ACK] Seq=15038 Ack=1 Win=37888 Len=1000 TSval=1758595744 TSecr=1886573818
